,Frame,t [s],thickness,q_y,q_y Fehler,Distance,Radius,2R/D,Coverage,Porosity,Particle Density,Fehler Distance,Fehler Radius,Fehler 2R/D,Fehler Coverage,Fehler Porosity,Fehler Particle Density
90,910,45.5,2.6357513,0.5570643,0.0017280479999999998,11.279102443254,5.1757724743748,0.917763182028798,0.763871860591703,0.490752092938865,9076.53916444402,0.0349884751524379,0.010703711430079,4.74493049599032E-4,0.00394929646048572,5.26572861398096E-4,9.38532909638329
91,920,46.0,2.6647156,0.5524394,0.001785619,11.3735285846368,5.22361439227765,0.918556515404313,0.765193044476845,0.489871303682103,8926.45297434768,0.0367620208438618,0.0112559979218528,4.94833148661414E-4,0.00412215119246775,5.496201589957E-4,9.61749170050853
92,930,46.5,2.6936799,0.5468021,0.00169491,11.4907848875847,5.27844253163683,0.918726193776362,0.765475767858185,0.489682821427877,8745.2046939236,0.0356177238781932,0.01090764529653,4.746257720095E-4,0.00395454630264623,5.27272840352831E-4,9.03577052086306
93,940,47.0,2.7226442000000004,0.5455793999999999,0.001766379,11.5165369278598,5.30520584264019,0.92131964250578,0.769803551669085,0.48679763222061,8706.13825003912,0.037286174995053,0.0114508284722834,4.97147212917044E-4,0.00415388614927447,5.5385148656993E-4,9.3957236263966
94,950,47.5,2.7516085,0.5403365,0.001741141,11.6282822041072,5.35833582489692,0.921604022132229,0.770278848672087,0.486480767551942,8539.61403390132,0.0374701300118379,0.0115108741762425,4.94951617710857E-4,0.00413681747348108,5.51575663130811E-4,9.17247685383767
95,960,48.0,2.7805728,0.5395276999999999,0.001735641,11.6457140331805,5.38244388101392,0.924364768992006,0.774900638483632,0.483399574344245,8514.06820978538,0.0374638387431514,0.0115434175484557,4.95607977130756E-4,0.00415471197950346,5.53961597267128E-4,9.129815986402
96,970,48.5,2.8095371,0.5361772,0.0016188420000000001,11.7184865510499,5.42354540591261,0.925639225216621,0.77703888039836,0.481974079734427,8408.65078547949,0.0353807998648109,0.0109166187248026,4.65786203587212E-4,0.00391009780355525,5.21346373807366E-4,8.46254873380615
97,980,49.0,2.8385013999999997,0.5307991,0.001579006,11.8372192175525,5.47881753807149,0.925693346955569,0.7771297493325,0.481913500445,8240.81163307737,0.0352130215892053,0.0108654866037767,4.58954354231487E-4,0.00385297229835329,5.13729639780439E-4,8.17151034700885
98,990,49.5,2.8674657000000003,0.5296975,0.001603808,11.8618368166351,5.50500916918936,0.928188315905526,0.781324502431914,0.479116998378724,8206.6418014094,0.0359150435507322,0.0111119745963426,4.68391816887881E-4,0.00394279907430286,5.25706543240381E-4,8.28263790448625
99,1000,50.0,2.89643,0.5255645999999999,0.001578135,11.9551151412778,5.55240146993455,0.928874612133783,0.782480341799062,0.478346438800625,8079.07875880223,0.0358981286667336,0.0111149534472136,4.64861831770934E-4,0.0039159778969292,5.22130386257228E-4,8.0864635587597
100,1010,50.5,2.9253943,0.5216548,0.001600756,12.0447186667881,5.59864911764481,0.929643816934049,0.783776828622891,0.477482114251406,7959.32149826822,0.0369605641013424,0.0114533866290692,4.75452642187925E-4,0.00400851118747195,5.34468158329593E-4,8.14135557606412
101,1020,51.0,2.9543586,0.5183991,0.0015787120000000001,12.1203630700354,5.64055920344412,0.930757465077759,0.785655772798929,0.476229484800714,7860.28167470885,0.0369108716103514,0.0114516897646204,4.72415293933394E-4,0.00398767473550444,5.31689964733925E-4,7.97912972408257
102,1030,51.5,2.9833229,0.5154962000000001,0.001608525,12.1886161472763,5.68015726458473,0.932043013899329,0.787827544476828,0.474781637015448,7772.4970881577,0.038032664039614,0.0118160262727008,4.84715661315712E-4,0.00409715370995812,5.4628716132775E-4,8.08428583225822
103,1040,52.0,3.0122872000000003,0.5124896,0.00159097,12.2601225608863,5.72074609244962,0.933228206168286,0.789832432165366,0.473445045223089,7682.09626181558,0.0380602595461318,0.0118396359141787,4.82851450113186E-4,0.00408658603219178,5.44878137625572E-4,7.94941964979109
104,1050,52.5,3.0412515,0.5102298,0.001567645,12.3144224566648,5.75595624139595,0.93483170025253,0.792548980339997,0.471634013106668,7614.49790642394,0.037835192676081,0.011789845832921,4.78700721629868E-4,0.00405841788113609,5.41122384151479E-4,7.79833555423847
105,1060,53.0,3.0702158,0.5072982,0.0015207970000000002,12.3855856519491,5.7963954223822,0.935990527257796,0.794515101957504,0.470323265361664,7527.24885510898,0.037129959267995,0.0115844300507704,4.67657742488236E-4,0.00396971046323335,5.29294728431114E-4,7.52182015568172
106,1070,53.5,3.0991801,0.5029815,0.0014889929999999999,12.4918815248266,5.84778659460943,0.936253931481405,0.79496234597297,0.470025102684687,7399.69219906192,0.0369801357451441,0.0115409324927024,4.61937317839819E-4,0.00392225614798069,5.22967486397426E-4,7.30185231236657
107,1080,54.0,3.1281444,0.5001479999999999,0.00150681,12.5626520693466,5.88808166436066,0.937394688933207,0.796900733969269,0.468732844020488,7316.55606011859,0.0378478565636816,0.011826126576767,4.70685907381897E-4,0.0040014088994732,5.33521186596427E-4,7.34759833552421
108,1090,54.5,3.1571087,0.4979639,0.001529609,12.6177526266052,5.92345631851194,0.938908297508068,0.799476318446064,0.467015787702624,7252.79414043039,0.0387582874530242,0.0121301592289491,4.80678278767805E-4,0.00409295456953796,5.45727275938395E-4,7.42620043497771
109,1100,55.0,3.186073,0.495104,0.0014713920000000002,12.6906373351449,5.96437400831335,0.939964455811194,0.80127595843901,0.465816027707327,7169.72505609767,0.0377151108652597,0.0118169545534409,4.65577663334352E-4,0.00396883292883748,5.29177723844998E-4,7.10253205369758
110,1110,55.5,3.2150373,0.49360950000000003,0.001504776,12.7290607396729,5.994462539066,0.941854652383414,0.804501807888752,0.463665461407499,7126.50592661863,0.0388047335061462,0.0121828062624208,4.78543017099855E-4,0.00408755981015899,5.45007974687866E-4,7.24175357391722
111,1120,56.0,3.2440016,0.48919009999999996,0.0014612479999999998,12.8440565481182,6.04856704005237,0.941846840582239,0.804488462767848,0.463674358154768,6999.46667871559,0.038366172869861,0.0120450195675702,4.68894679902938E-4,0.00400511361276047,5.34015148368062E-4,6.96931294217374
112,1130,56.5,3.2729659,0.48712330000000004,0.0015293429999999998,12.898552188285,6.08366292113167,0.943309424550319,0.8069889659644,0.462007356023734,6940.44693292894,0.0404955182790235,0.0127332680148842,4.93592917600827E-4,0.00422262332820353,5.63016443760471E-4,7.26326984957494
113,1140,57.0,3.3019302,0.48265109999999994,0.001476331,13.0180689677898,6.13918914815991,0.94317969329398,0.806767014416639,0.46215532372224,6813.59369287708,0.0398196104334705,0.0125190159852422,4.80832296103885E-4,0.00411289215322322,5.48385620429762E-4,6.94712984886937
114,1150,57.5,3.3308945,0.48039220000000005,0.001466166,13.0792825261934,6.17637390219732,0.944451484984461,0.808944184584177,0.460703876943882,6749.96508064903,0.0399182154587415,0.0125669392893127,4.80413939531674E-4,0.00411485469350198,5.48647292466931E-4,6.86700665444809
