,Frame,t,thickness,q_y,q_y Fehler,Distance,Radius,2R/D,Coverage,Porosity,Particle Density,Fehler Distance,Fehler Radius,Fehler 2R/D,Fehler Coverage,Fehler Porosity,Fehler Particle Density
90,910,45.5,2.0495748,0.6436397,0.001596477,9.76196046822405,4.32251617065999,0.885583625283082,0.711243654996109,0.525837563335927,12117.0047760284,0.0242134619142183,0.00714768179421577,3.6609868568317E-4,0.00294026853998498,3.92035805331331E-4,10.0182961750285
91,920,46.0,2.0720976,0.6411983,0.001727979,9.79912970321286,4.34929714049635,0.887690493385416,0.71463188179534,0.523578745469773,12025.2567044951,0.0264078840281205,0.00781400920072906,3.98709346513041E-4,0.00320979454788748,4.27972606384997E-4,10.8023737508228
92,930,46.5,2.0946203999999997,0.6366783,0.0016564179999999998,9.8686971225179,4.38563343571087,0.888796845472936,0.716414321000068,0.522390452666621,11856.3149562768,0.0256749563324003,0.00760660673196425,3.85390626418551E-4,0.00310643951260339,4.14191935013785E-4,10.2820181491166
93,940,47.0,2.1171432,0.6346816999999999,0.001673889,9.89974235460009,4.41052219614233,0.891037774148314,0.720031474453897,0.519979017030735,11782.0696092099,0.0261092604847425,0.00775477911566116,3.91665703908838E-4,0.00316497956046881,4.21997274729175E-4,10.3578831804408
94,950,47.5,2.139666,0.6294804,0.00157061,9.9815424073245,4.45045525237094,0.891736982273436,0.721161952654208,0.519225364897195,11589.7496752606,0.0249048426612932,0.00740285641292545,3.70827278532284E-4,0.00299893948103395,3.99858597471193E-4,9.63915463052866
95,960,48.0,2.1621888,0.6240653,0.001645065,10.068153616584,4.49181401630469,0.892281581581331,0.722043073962392,0.518637950691738,11391.2058960951,0.0265401186851212,0.00789375302523874,3.92015920984576E-4,0.00317223157434525,4.229642099127E-4,10.0092485660607
96,970,48.5,2.1847116,0.6197821,0.00162299,10.1377327728238,4.52809924548557,0.893315960670025,0.723718103852776,0.517521264098149,11235.3780426856,0.0265471347316506,0.00790499305528036,3.89879731120514E-4,0.00315860269109637,4.21147025479517E-4,9.80715975797427
97,980,49.0,2.2072344,0.6153093000000001,0.0016529620000000002,10.2114258750511,4.56559885682003,0.894213778307856,0.725173565140156,0.516550956573229,11073.7978176842,0.0274318930938899,0.00817665892320815,4.00368127980326E-4,0.00324683414390454,4.32911219187273E-4,9.91618740272303
98,990,49.5,2.2297572,0.6107268,0.00160088,10.2880458286415,4.60396264358729,0.895012079120029,0.726468926644883,0.515687382236744,10909.4683822621,0.0269677486007747,0.00804548691478855,3.91011424754263E-4,0.00317378565802598,4.23171421070131E-4,9.53222168722895
99,1000,50.0,2.25228,0.608494,0.001508904,10.325796650714,4.63070567327517,0.896919788354529,0.729569149578565,0.513620566947623,10829.8447806313,0.0256052415791265,0.00765528261930558,3.70687264056097E-4,0.00301523052014672,4.02030736019563E-4,8.95171582566892
100,1010,50.5,2.2748028,0.6045031999999999,0.001615273,10.3939653374533,4.66651608191937,0.897927966933697,0.731210209093834,0.512526527270777,10688.2558200705,0.0277733708812859,0.00831282881677621,3.99887268568331E-4,0.00325640434457481,4.34187245943308E-4,9.51991158097689
101,1020,51.0,2.2973256,0.6023195,0.001576229,10.4316484974828,4.69317577071051,0.899795611756472,0.734255133060637,0.510496577959575,10611.1750444217,0.0272989117562005,0.00818781366798546,3.92450611711141E-4,0.00320249257005359,4.26999009340479E-4,9.25624015664654
102,1030,51.5,2.3198484,0.5975634,0.001651308,10.5146756096166,4.73341366465799,0.900344212298637,0.73515074880983,0.509899500793447,10444.2584662392,0.0290562774620481,0.00872021708129944,4.14668859271512E-4,0.00338586196520643,4.51448262027524E-4,9.62056219159811
103,1040,52.0,2.3423712,0.5946382,0.00161427,10.5664003879663,4.76424355019817,0.901772292411709,0.737484715669889,0.508343522886741,10342.2550078319,0.0286847080363864,0.00862235830771093,4.08008308937953E-4,0.00333676133365474,4.44901511153965E-4,9.35873947749109
104,1050,52.5,2.364894,0.5907465000000001,0.0016066779999999998,10.6360093664196,4.80043256503032,0.902675505380134,0.738962781362932,0.507358145758045,10207.3250752483,0.0289272001726972,0.00870395834504059,4.09174063560017E-4,0.00334964671432567,4.46619561910089E-4,9.25376318339012
105,1060,53.0,2.3874168,0.584932,0.0015973170000000002,10.7417363166652,4.84748431786393,0.902551352027389,0.738759522501776,0.507493651665483,10007.380059421,0.0293332524603315,0.00882492222247766,4.10777269257035E-4,0.00336230862221013,4.48307816294684E-4,9.10929720285102
106,1070,53.5,2.4099396,0.5829209,0.0016434020000000002,10.7787957288538,4.8738581636659,0.904341873854993,0.741693598502469,0.505537600998354,9938.68406081061,0.0303881615128051,0.00916042897516613,4.24928220443244E-4,0.00348503757303994,4.64671676405326E-4,9.33989114869861
107,1080,54.0,2.4324624,0.5797548,0.001623127,10.8376598299481,4.90677783576017,0.905505046800065,0.743602771947131,0.504264818701913,9831.01452142592,0.0303419623033809,0.00915826666517626,4.22520489149738E-4,0.00346974771754723,4.62633029006298E-4,9.17455972025788
108,1090,54.5,2.4549852000000003,0.5746036,0.001656967,10.9348171629617,4.95124765007434,0.90559312996017,0.743747447160052,0.504168368559965,9657.0908433181,0.031532401102362,0.00951850860314918,4.35238580640844E-4,0.00357453664949323,4.76604886599098E-4,9.28262013637474
109,1100,55.0,2.4775080000000003,0.5727418000000001,0.001657944,10.970362748414,4.9770998475633,0.907371973325648,0.746672181354653,0.502218545763565,9594.61144532466,0.0317564513303491,0.00960497130314625,4.37769084004759E-4,0.00360238145427212,4.80317527236283E-4,9.25799867590558
110,1110,55.5,2.5000307999999998,0.5695303,0.001670256,11.0322230567532,5.01088553103681,0.908409031481549,0.748379937392837,0.501080041738108,9487.31455703094,0.0323540938100755,0.00979691700749128,4.44013729467436E-4,0.00365794433503658,4.87725911338211E-4,9.27445186718966
111,1120,56.0,2.5225536,0.5658228,0.001694065,11.104510647467,5.04781880179148,0.909147455848118,0.749597112847457,0.500268591435029,9364.19650332587,0.0332467387846534,0.0100753959937715,4.53662314064681E-4,0.00374047090648618,4.98729454198157E-4,9.34542142251764
112,1130,56.5,2.5450764,0.5648051,0.0015617089999999999,11.1245194265767,5.0688773921338,0.911298222919033,0.753147946707966,0.497901368861356,9330.54154134725,0.0307597472281317,0.00934376766214503,4.19962755416769E-4,0.00347080767833409,4.62774357111212E-4,8.59977521449192
113,1140,57.0,2.5675992,0.558678,0.001586472,11.2465235917283,5.1208880580862,0.91066150643254,0.752095877963667,0.498602748024222,9129.20104078496,0.0319366339387203,0.00969448772433988,4.3099930593086E-4,0.00355953116614811,4.74604155486415E-4,8.64136517133674
114,1150,57.5,2.590122,0.5580024,0.001596437,11.2601402918331,5.1399624616362,0.912948209955104,0.755877699301958,0.496081533798694,9107.13480949669,0.0322151026358905,0.00980357342831872,4.35321993076283E-4,0.00360425906961607,4.8056787594881E-4,8.68512810092362
